plant,factory,vendor,vendor_name,material ,material_desc,effective_date[dd/mm/yyyy],avai_capacity,price
1105,F5/F23,201322,LIAN SHUN ENTERPRISE,21000005,WOOD CHIP,01/10/2021,900,133
1105,F5/F23,202610,WMIX ENTERPRISE,21000005,WOOD CHIP,01/10/2021,600,140
1105,F5/F23,201163,KILANG PAPAN JENDELA BARU SDN BHD,21000005,WOOD CHIP,01/10/2021,1200,140
1105,F5/F23,202637,YAKIN TUAH SDN BHD,21000005,WOOD CHIP,01/10/2021,500,135
1105,F5/F23,203565,TME BIO RESOURCES SDN BHD,21000005,WOOD CHIP,01/10/2021,800,140
1105,F5/F23,204134,PDTC SDN BHD,21000005,WOOD CHIP,01/10/2021,2000,140
1105,F5/F23,206140,PKL WOOD FUEL ENTERPRISE,21000005,WOOD CHIP,01/10/2021,1200,140
1105,F5/F23,203121,K C DURAI SDN BHD,21000005,WOOD CHIP,01/10/2021,500,140
1105,F5/F23,202767,YMY GLOBAL TRADING,21000005,WOOD CHIP,01/10/2021,200,169
1105,F5/F23,209863,HULK WOODS TRADING SDN BHD,21000005,WOOD CHIP,01/10/2021,500,136
6336,F36,203602,LEAF ASSETS MANAGEMENT SDN BHD,21000005,WOOD CHIP,01/10/2021,1000,130
6336,F36,208783,YONG TAT TIMBER AND TRADING,21000005,WOOD CHIP,01/10/2021,1200,120
6336,F36,201910,REDLAND WOOD INDUSTRIES SDN BHD,21000005,WOOD CHIP,01/10/2021,400,125
6336,F36,208817,TRANSLINK TRADING,21000005,WOOD CHIP,01/10/2021,1000,115
6336,F36,209232,ZG TIMBER,21000005,WOOD CHIP,01/10/2021,1000,115
6336,F36,210122,HIAN YOON TIMBER INDUSTRIES SDN BHD,21000005,WOOD CHIP,01/10/2021,400,125
6336,F36,202388,TOP BIOMASS RESOURCES,21000005,WOOD CHIP,01/10/2021,1500,123
6336,F36,202767,YMY GLOBAL TRADING,21000005,WOOD CHIP,01/10/2021,300,139
4027,F27,202388,TOP BIOMASS RESOURCES,21000005,WOOD CHIP,01/10/2021,700,154
4027,F27,202598,WIN M TRADING,21000005,WOOD CHIP,01/10/2021,100,150
4027,F27,202368,TIEN CHUNG TRADING SDN BHD,21000005,WOOD CHIP,01/10/2021,5500,154
4027,F27,206527,VENUS RESOURCES SDN BHD,21000005,WOOD CHIP,01/10/2021,500,155
4027,F27,209671,LEONG HUAT BRICK WORKS SDN BHD,21000005,WOOD CHIP,01/10/2021,1000,160
4027,F27,,,21000005,WOOD CHIP,01/10/2021,50,150
4027,F27,201440,MAWAR SAKSAMA (M) SDN BHD,21000005,WOOD CHIP,01/10/2021,200,155
4033,F33,202598,WIN M TRADING,21000005,WOOD CHIP,01/10/2021,100,150
4033,F33,202368,TIEN CHUNG TRADING SDN BHD,21000005,WOOD CHIP,01/10/2021,450,154
4027,F27,209671,LEONG HUAT BRICK WORKS SDN BHD,21000136,HIGH CV WOODCHIP,01/10/2021,500,180
1105,F5/F23,207994,MEGA WIJAYA ENTERPRISE,21000007,WOOD PELLET,01/10/2021,500,400
1105,F5/F23,202388,TOP BIOMASS RESOURCES,21000007,WOOD PELLET,01/10/2021,500,400
1105,F5/F23,,,21000007,WOOD PELLET,01/10/2021,100,375
1105,F5/F23,202767,YMY GLOBAL TRADING,21000007,WOOD PELLET,01/10/2021,200,359
6336,F36,208814,VILA SUTERA SDN BHD,21000001,EMPTY FRUIT BUNCH FIBER,01/10/2021,600,46
6336,F36,208812,HK GUA MUSANG SDN BHD,21000001,EMPTY FRUIT BUNCH FIBER,01/10/2021,2000,65
6336,F36,206793,MULTI BIO RESOURCES & SUPPLIES,21000001,EMPTY FRUIT BUNCH FIBER,01/10/2021,2000,57
6336,F36,202767,YMY GLOBAL TRADING,21000001,EMPTY FRUIT BUNCH FIBER,01/10/2021,1000,57
6336,F36,208815,TAN KOK TONG TRANSPORT & TRADING,21000001,EMPTY FRUIT BUNCH FIBER,01/10/2021,5000,60
4027,F27,206793,MULTI BIO RESOURCES & SUPPLIES,21000001,EMPTY FRUIT BUNCH FIBER,01/10/2021,1000,38
4027,F27,209362,MEGA SENSASI JAYA SDN BHD,21000001,EMPTY FRUIT BUNCH FIBER,01/10/2021,300,34
1105,F5/F23,209411,SPYNIE MAJU JAYA ENTERPRISE,21000003,MESOCARP FIBER,01/10/2021,100,115
1105,F5/F23,202767,YMY GLOBAL TRADING,21000003,MESOCARP FIBER,01/10/2021,100,118
1105,F5/F23,204134,PDTC SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,1500,258
1105,F5/F23,209412,MUAZIQ ENGINEERING SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,500,290
1105,F5/F23,209411,SPYNIE MAJU JAYA ENTERPRISE,21000004,PALM KERNEL SHELL,01/10/2021,200,290
1105,F5/F23,208130,GREAT ORGANIC SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,300,292
1105,F5/F23,207123,SOON TEIK ENTERPRISE SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,800,258
1105,F5/F23,202767,YMY GLOBAL TRADING,21000004,PALM KERNEL SHELL,01/10/2021,100,295
4027,F27,206396,CLASSIC PALM OIL MILL SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,500,260
4027,F27,206793,MULTI BIO RESOURCES & SUPPLIES,21000004,PALM KERNEL SHELL,01/10/2021,200,260
4027,F27,205795,LUI SAWIT ENTERPRISE,21000004,PALM KERNEL SHELL,01/10/2021,350,275
4027,F27,207259,SIMPANGAN KURNIA SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,200,278
4027,F27,207452,PIMPINAN MEGAMAS SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,200,280
4027,F27,206401,MIN ONN LORRY TRANSPORT SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,400,260
4027,F27,207682,BP REALTY & PLANTATION SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,1000,295
4027,F27,208130,GREAT ORGANIC SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,120,292
4027,F27,209362,MEGA SENSASI JAYA SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,200,270
4033,F33,206396,CLASSIC PALM OIL MILL SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,300,260
4033,F33,206793,MULTI BIO RESOURCES & SUPPLIES,21000004,PALM KERNEL SHELL,01/10/2021,200,260
4033,F33,208130,GREAT ORGANIC SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,120,292
4033,F33,206401,MIN ONN LORRY TRANSPORT SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,400,260
4033,F33,207452,PIMPINAN MEGAMAS SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,300,280
4033,F33,207682,BP REALTY & PLANTATION SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,1000,295
4027,F27,202388,TOP BIOMASS RESOURCES,21000096,PKS GRANULE,01/10/2021,150,195
1105,F5/F23,204134,PDTC SDN BHD,21000010,SHORT EFB,01/10/2021,500,48
1105,F5/F23,200906,HK KITARAN SDN BHD,21000010,SHORT EFB,01/10/2021,600,53
1105,F5/F23,206793,MULTI BIO RESOURCES & SUPPLIES,21000010,SHORT EFB,01/10/2021,300,48
1105,F5/F23,209411,SPYNIE MAJU JAYA ENTERPRISE,21000010,SHORT EFB,01/10/2021,500,48
1105,F5/F23,202388,TOP BIOMASS RESOURCES,21000010,SHORT EFB,01/10/2021,,48
1105,F5/F23,209411,SPYNIE MAJU JAYA ENTERPRISE,21000058,RICE HUSK PELLET,01/10/2021,400,285
1105,F5/F23,207123,SOON TEIK ENTERPRISE SDN BHD,21000058,RICE HUSK PELLET,01/10/2021,600,245
